Class_ID,Class_Name
0,bread
1,carmel
2,chicken_curry
3,cupcakes
4,french_fries
5,fried_rice
6,ice_cream
7,omlette
8,pancakes
9,pizza
10,rice
11,sause
12,steak
13,waffles
14,adhirasam
15,aloo_gobi
16,boondi
17,briyani
18,chapathi
19,gulab_jamun
20,kuzhi_paniyaram
21,lassi
22,naan
23,paneer_butter_masala
24,phirni
25,rabdi
26,red_chutney
27,rita
